ID	UT	N_Arvore	DAP	HC	G	Volume	X	Y	Z
441	3	9136	0.499745	13	0.19615	2.014511	549191.388	9797821.082	87.565399
442	3	9140	0.655717	13	0.337693	3.472447	549162.456	9797762.616	88.783699
443	3	9141	0.509295	12	0.203717	1.955507	549206.381	9797730.771	89.239601
444	3	9143	0.455182	10	0.162727	1.338234	549222.713	9797659.694	86.842697
445	3	9144	0.515661	10	0.208842	1.718438	549208.809	9797656.823	86.876801
446	3	9147	0.572956	12	0.25783	2.476251	549197.235	9797627.645	85.887802
447	3	9152	0.572956	13	0.25783	2.649613	549141.301	9797670.325	88.5849
448	3	9155	0.499745	11	0.19615	1.749183	549120.95	9797682.378	88.919098
449	3	9156	0.471098	16	0.174306	2.133112	549121.964	9797734.219	88.894096
450	3	9157	0.480647	13	0.181444	1.863151	549121.969	9797753.12	88.894096
451	3	9158	0.531576	12	0.221933	2.130767	549142.883	9797771.132	89.018898
452	3	9161	0.557041	13	0.243705	2.50414	549123.76	9797799.213	89.0224
453	3	9162	0.52521	11	0.216649	1.932418	549149.903	9797822.861	88.933098
454	3	9167	0.477464	16	0.179048	2.191286	549121.785	9797908.863	87.837303
455	3	9168	0.474281	13	0.176669	1.814014	549118.45	9797914.722	89.352501
456	3	9170	0.509295	10	0.203717	1.676176	549119.348	9797951.199	86.197403
457	3	9172	0.477464	12	0.179048	1.718208	549158.507	9797985.565	83.2892
458	3	9177	0.518844	16	0.211428	2.588536	549151.078	9798078.637	81.9366
459	3	9179	0.732111	12	0.420963	4.047476	549156.311	9798101.959	81.105904
460	3	9180	0.509295	11	0.203717	1.816824	549135.18	9798105.39	81.014198
461	3	9181	0.544309	10	0.232691	1.915145	549125.395	9798115.783	81.014198
462	3	9182	0.57614	10	0.260703	2.146237	549133.299	9798145.073	79.626198
463	3	9183	0.569773	12	0.254973	2.448752	549136.75	9798157.12	79.626198
464	3	9185	0.61752	12	0.299496	2.877395	549120.296	9798188.847	78.094002
465	3	9188	0.986758	12	0.764736	7.362671	549147.998	9798220.122	74.985397
466	3	9189	0.951744	12	0.711427	6.848316	549155.452	9798227.084	71.345001
467	3	9191	0.458365	12	0.165011	1.58321	549128.097	9798249.861	72.777603
468	3	9192	0.579323	12	0.263591	2.53171	549127.321	9798258.482	70.3881
469	3	9195	0.945378	12	0.701942	6.756802	549127.131	9798393.445	66.4562
470	3	9196	0.954927	16	0.716194	8.792525	549122.242	9798413.564	66.991402
471	3	9197	0.429717	12	0.145029	1.391089	549111.909	9798454.243	67.882401
472	3	9201	0.560224	11	0.246498	2.1993	549053.765	9798557.496	72.095703
473	3	9202	0.872167	16	0.597433	7.331538	549054.874	9798545.779	72.095703
474	3	9205	0.509295	14	0.203717	2.227697	549085.325	9798448.944	67.1045
475	3	9206	0.684365	12	0.367845	3.535687	549076.539	9798448.725	67.1045
476	3	9207	0.595238	12	0.278273	2.673052	549106.667	9798394.334	67.173897
477	3	9208	0.547492	12	0.235421	2.260568	549093.762	9798384.832	67.173897
478	3	9211	0.61752	14	0.299496	3.277904	549078.74	9798353.444	68.527
479	3	9212	0.763942	13	0.458364	4.716526	549098.424	9798345.149	69.150597
480	3	9213	0.572956	12	0.25783	2.476251	549111.094	9798305.353	70.743797
481	3	9220	0.763942	13	0.458364	4.716526	549067.252	9798224.121	75.373497
482	3	9221	0.954927	10	0.716194	5.909498	549059.017	9798205.885	77.608902
483	3	9223	0.509295	12	0.203717	1.955507	549067.463	9798178.802	78.820503
484	3	9231	0.881716	12	0.610587	5.875591	549087.009	9798060.525	83.473602
